,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,Buchanan,75,LR,1562078885,79,5.88,-10.05,29.0,4.1
1,Coos Bay,90,US,1562079126,93,43.37,-124.22,15.56,1.5
2,Souillac,0,FR,1562079126,47,45.6,-0.6,28.0,5.1
3,Jamestown,0,AU,1562079126,89,-33.21,138.6,8.13,1.44
4,Torbay,75,CA,1562079126,88,47.66,-52.73,22.0,6.2
5,Atuona,6,PF,1562079126,77,-9.8,-139.03,26.53,6.05
6,Mataura,100,NZ,1562079127,80,-46.19,168.86,10.0,0.89
7,Ostrovnoy,100,RU,1562079127,58,68.05,39.51,15.43,6.24
8,Avera,1,US,1562079127,66,33.19,-82.53,33.33,1.5
9,Kawalu,100,ID,1562079127,95,-7.38,108.21,18.73,0.93
10,Viedma,78,AR,1562079127,58,-40.81,-62.99,8.33,11.95
11,Yellowknife,75,CA,1562079128,66,62.45,-114.38,13.0,8.7
12,Honningsvag,93,NO,1562078949,92,70.98,25.97,7.13,7.07
13,Ribeira Grande,75,PT,1562079128,88,38.52,-28.7,22.0,4.1
14,East London,0,ZA,1562079123,26,-33.02,27.91,22.0,3.6
15,Lebu,75,ET,1562079128,100,8.96,38.73,14.0,3.6
16,Santa Cruz,0,BR,1562078899,36,-6.22,-36.02,30.63,3.76
17,Kavieng,1,PG,1562079128,75,-2.57,150.8,28.23,4.21
18,Atambua,1,ID,1562079128,77,-9.11,124.89,25.83,5.3
19,Tuktoyaktuk,75,CA,1562079129,87,69.44,-133.03,8.0,7.7
20,Okha,84,RU,1562079129,92,53.59,142.95,5.63,5.63
21,Butaritari,100,KI,1562079129,70,3.07,172.79,29.23,3.77
22,Hermanus,100,ZA,1562079129,69,-34.42,19.24,18.33,6.26
23,Ushuaia,75,AR,1562079129,86,-54.81,-68.31,1.0,2.1
24,Hilo,1,US,1562079129,78,19.71,-155.08,22.0,3.1
25,Atar,0,MR,1562079129,8,20.52,-13.05,44.53,3.79
26,Poum,0,MK,1562079130,35,41.28,20.71,30.0,2.1
27,Norman Wells,90,CA,1562079130,82,65.28,-126.83,14.0,2.1
28,Thompson,75,CA,1562079130,76,55.74,-97.86,11.0,3.6
29,Barrow,0,AR,1562079130,43,-38.31,-60.23,9.53,10.14
30,Ushuaia,75,AR,1562079129,86,-54.81,-68.31,1.0,2.1
31,Ushuaia,75,AR,1562079129,86,-54.81,-68.31,1.0,2.1
32,Alice Springs,0,AU,1562079124,34,-23.7,133.88,11.0,2.6
33,Barrow,0,AR,1562079130,43,-38.31,-60.23,9.53,10.14
34,Kavieng,1,PG,1562079128,75,-2.57,150.8,28.23,4.21
35,Mataura,100,NZ,1562079127,80,-46.19,168.86,10.0,0.89
36,Mar del Plata,93,AR,1562079059,94,-46.43,-67.52,1.83,8.15
37,Rawson,2,AR,1562079130,61,-43.3,-65.11,4.23,13.26
38,Zhanakorgan,0,KZ,1562079130,27,43.91,67.25,26.03,4.49
39,Pevek,52,RU,1562079131,94,69.7,170.27,1.73,3.71
40,Togur,81,RU,1562079131,61,58.36,82.83,22.23,4.95
41,Katsuura,75,JP,1562079131,94,33.93,134.5,22.0,3.1
42,Mataura,100,NZ,1562079127,80,-46.19,168.86,10.0,0.89
43,Atbasar,100,KZ,1562079131,95,51.81,68.36,15.63,3.69
44,Cape Town,75,ZA,1562079131,93,-33.93,18.42,14.44,8.7
45,Veraval,0,FR,1562079131,46,49.65,0.71,24.44,4.6
46,Laguna,75,BZ,1562079132,79,16.17,-88.94,30.0,2.37
